epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.001,0.81611,2.07615,1.42034,1.17204,0.81399,0.82762,0.87737,0.65341,0.83359,0.83679,0.88707,0.61935,0.77668,1.39114,0.78214,1.19552,0.00328638,0.00328638,0.00328638
2,113.117,0.70615,1.29164,0.74332,1.09324,0.82212,0.81693,0.87038,0.65413,0.8575,0.83665,0.89671,0.62462,0.86866,1.38028,0.79023,1.29316,0.00660661,0.00660661,0.00660661
3,163.603,0.8196,1.42118,0.78946,1.14926,0.58291,0.64811,0.61263,0.37574,0.62324,0.64996,0.63502,0.36992,1.14743,2.36821,2.64114,1.75871,0.00991364,0.00991364,0.00991364
4,213.73,0.9467,1.5663,0.86224,1.2303,0.59581,0.52245,0.57606,0.31465,0.48562,0.38515,0.35562,0.14687,1.58815,6.14255,2.52033,2.33115,0.0099406,0.0099406,0.0099406
5,263.539,0.94377,1.53276,0.84296,1.24396,0.82016,0.72712,0.78766,0.50181,0.83316,0.73316,0.80893,0.47216,1.14048,1.86126,1.32592,1.68539,0.0099208,0.0099208,0.0099208
6,313.628,0.91045,1.47049,0.8078,1.21018,0.46357,0.55745,0.49296,0.30855,0.46887,0.46654,0.43585,0.23653,1.36844,3.39038,2.55182,1.90564,0.009901,0.009901,0.009901
7,363.771,0.91051,1.44435,0.78928,1.21228,0.83746,0.76079,0.82813,0.55718,0.85856,0.77581,0.84804,0.54982,1.08819,1.61197,1.16431,1.51747,0.0098812,0.0098812,0.0098812
8,413.838,0.87796,1.39532,0.75735,1.19088,0.80591,0.76511,0.83008,0.56105,0.82955,0.78756,0.86298,0.55809,1.04363,1.55569,1.03215,1.48661,0.0098614,0.0098614,0.0098614
9,463.972,0.8604,1.38133,0.73834,1.17336,0.76652,0.7867,0.82562,0.55506,0.79639,0.76079,0.83232,0.52387,1.05116,1.78129,0.96775,1.51172,0.0098416,0.0098416,0.0098416
10,514.099,0.84505,1.32162,0.7107,1.16884,0.82693,0.87306,0.9035,0.65079,0.87394,0.86812,0.9153,0.62614,0.94882,1.3997,0.76761,1.37466,0.0098218,0.0098218,0.0098218
11,564.469,0.83523,1.30631,0.70807,1.16079,0.86898,0.84197,0.90452,0.66342,0.90043,0.86183,0.91987,0.63829,0.90155,1.29019,0.72175,1.32897,0.009802,0.009802,0.009802
12,614.78,0.81446,1.3077,0.68089,1.15092,0.80497,0.78584,0.84273,0.5717,0.82778,0.79279,0.85988,0.5584,1.03119,1.68924,1.06087,1.47208,0.0097822,0.0097822,0.0097822
13,665.467,0.80424,1.29859,0.68576,1.14768,0.86522,0.85147,0.90493,0.67218,0.88501,0.87306,0.91667,0.67219,0.87867,1.27555,0.70178,1.2956,0.0097624,0.0097624,0.0097624
14,716.261,0.79168,1.27209,0.6725,1.12918,0.83816,0.84972,0.90001,0.65353,0.86461,0.86584,0.91364,0.64589,0.91005,1.31266,0.74691,1.34262,0.0097426,0.0097426,0.0097426
15,766.311,0.7749,1.2123,0.65703,1.12522,0.85008,0.85692,0.90591,0.68503,0.86685,0.88342,0.91821,0.66168,0.83284,1.22232,0.68253,1.25933,0.0097228,0.0097228,0.0097228
16,816.69,0.77116,1.23125,0.64795,1.12115,0.8558,0.85751,0.89579,0.65946,0.87396,0.86788,0.90555,0.63422,0.92859,1.27479,0.731,1.34116,0.009703,0.009703,0.009703
17,866.978,0.77341,1.21132,0.64531,1.12771,0.86094,0.88216,0.91527,0.68916,0.89348,0.88601,0.92868,0.6681,0.83462,1.27647,0.65259,1.26545,0.0096832,0.0096832,0.0096832
18,917.45,0.75529,1.20801,0.63151,1.11014,0.84122,0.84283,0.90193,0.68779,0.87657,0.8601,0.91608,0.66331,0.81552,1.199,0.6796,1.24259,0.0096634,0.0096634,0.0096634
19,967.956,0.74972,1.18581,0.62199,1.10448,0.85151,0.84974,0.88853,0.63729,0.87807,0.87651,0.91279,0.63757,0.8962,1.31278,0.72039,1.33587,0.0096436,0.0096436,0.0096436
20,1030.74,0.73694,1.18268,0.61334,1.10506,0.86671,0.87997,0.91898,0.71102,0.89465,0.88005,0.92736,0.66291,0.78464,1.20564,0.65135,1.19478,0.0096238,0.0096238,0.0096238
21,1086.25,0.72656,1.14957,0.59588,1.09356,0.86715,0.86701,0.90399,0.70009,0.90797,0.87047,0.91765,0.67564,0.81772,1.22887,0.63341,1.23173,0.009604,0.009604,0.009604
22,1136.46,0.73104,1.17395,0.59301,1.0957,0.87479,0.86274,0.91813,0.69535,0.89032,0.87625,0.92636,0.67849,0.80708,1.2191,0.64038,1.22995,0.0095842,0.0095842,0.0095842
23,1186.74,0.72495,1.15342,0.59655,1.09035,0.88388,0.86765,0.91919,0.70326,0.89883,0.88233,0.92256,0.67463,0.82375,1.18913,0.64827,1.25191,0.0095644,0.0095644,0.0095644
24,1237.68,0.71518,1.12788,0.58899,1.08274,0.87405,0.85406,0.89139,0.69467,0.89064,0.89317,0.91811,0.67052,0.77797,1.19424,0.69621,1.20976,0.0095446,0.0095446,0.0095446
25,1288.13,0.70325,1.12674,0.57321,1.07898,0.87007,0.88256,0.9267,0.72054,0.88542,0.89418,0.93031,0.69982,0.77397,1.17035,0.60603,1.20078,0.0095248,0.0095248,0.0095248
26,1339.77,0.69675,1.09631,0.56089,1.07398,0.90235,0.8858,0.92957,0.72586,0.92433,0.90717,0.94418,0.70142,0.80062,1.14078,0.5824,1.21905,0.009505,0.009505,0.009505
27,1390.83,0.69831,1.10679,0.57299,1.07337,0.87136,0.88324,0.92436,0.7215,0.90622,0.87133,0.93153,0.69969,0.76348,1.14745,0.61995,1.1844,0.0094852,0.0094852,0.0094852
28,1441.12,0.69801,1.11079,0.5575,1.07952,0.88736,0.89123,0.92998,0.7388,0.91146,0.90674,0.94116,0.71624,0.74244,1.15348,0.57978,1.17966,0.0094654,0.0094654,0.0094654
29,1491.62,0.68627,1.06269,0.54731,1.0668,0.87635,0.88515,0.92191,0.73411,0.89474,0.88086,0.92892,0.69875,0.7533,1.13415,0.58288,1.2048,0.0094456,0.0094456,0.0094456
30,1541.77,0.68768,1.07397,0.54683,1.07005,0.87895,0.90328,0.92068,0.72813,0.89724,0.92055,0.93929,0.70602,0.76457,1.1095,0.59206,1.18525,0.0094258,0.0094258,0.0094258
31,1591.84,0.6815,1.06349,0.54657,1.0637,0.87235,0.89111,0.92804,0.73104,0.90091,0.89119,0.94113,0.69919,0.76116,1.12084,0.58257,1.19382,0.009406,0.009406,0.009406
32,1641.76,0.68043,1.07931,0.54693,1.06098,0.87212,0.88515,0.92733,0.73087,0.90487,0.89537,0.93955,0.71691,0.77081,1.11884,0.58,1.20409,0.0093862,0.0093862,0.0093862
33,1691.76,0.67911,1.08482,0.54429,1.0607,0.89875,0.87565,0.92746,0.73573,0.91853,0.89896,0.9408,0.69533,0.74427,1.18087,0.56673,1.1851,0.0093664,0.0093664,0.0093664
34,1741.71,0.6643,1.05308,0.51007,1.04872,0.87629,0.88169,0.92629,0.74605,0.8944,0.90587,0.93964,0.72197,0.72644,1.13107,0.56406,1.14527,0.0093466,0.0093466,0.0093466
35,1792.05,0.67109,1.06686,0.5255,1.05562,0.86999,0.86103,0.91177,0.7173,0.89074,0.88601,0.92798,0.70301,0.75934,1.08347,0.6004,1.1895,0.0093268,0.0093268,0.0093268
36,1842.1,0.66367,1.04373,0.52629,1.05766,0.90557,0.89435,0.93761,0.74535,0.92393,0.91249,0.95146,0.71288,0.73697,1.10462,0.55992,1.16486,0.009307,0.009307,0.009307
37,1891.86,0.66021,1.04318,0.51836,1.04827,0.87728,0.88515,0.92798,0.73561,0.9062,0.90069,0.94269,0.71427,0.72534,1.10304,0.57952,1.1536,0.0092872,0.0092872,0.0092872
38,1941.67,0.65654,1.01852,0.51807,1.04825,0.90639,0.86127,0.92309,0.73913,0.92731,0.88135,0.93986,0.70646,0.72644,1.10465,0.56128,1.15697,0.0092674,0.0092674,0.0092674
39,1991.75,0.65618,1.03145,0.50657,1.04946,0.87885,0.90069,0.93768,0.75362,0.9073,0.91281,0.94549,0.7234,0.72556,1.13141,0.55476,1.15191,0.0092476,0.0092476,0.0092476
40,2042.56,0.64854,1.02961,0.50913,1.0429,0.8745,0.89053,0.92737,0.74704,0.90238,0.91192,0.94273,0.71819,0.72082,1.10714,0.55865,1.14943,0.0092278,0.0092278,0.0092278
41,2092.64,0.64623,1.01739,0.5032,1.04326,0.89443,0.88529,0.93862,0.74398,0.91762,0.90416,0.94872,0.72613,0.72462,1.07498,0.53371,1.1662,0.009208,0.009208,0.009208
42,2142.94,0.64101,1.00219,0.49552,1.03615,0.89537,0.89422,0.93739,0.75958,0.90797,0.89983,0.9435,0.72647,0.70782,1.06736,0.54566,1.14299,0.0091882,0.0091882,0.0091882
43,2193.81,0.64879,1.00677,0.4975,1.04554,0.88672,0.90576,0.94076,0.75395,0.90594,0.92323,0.94893,0.73123,0.71495,1.07338,0.53866,1.14568,0.0091684,0.0091684,0.0091684
44,2244.59,0.61978,1.00807,0.48339,1.0259,0.87843,0.90587,0.92604,0.75354,0.90343,0.91796,0.94179,0.71744,0.69406,1.0544,0.54511,1.12987,0.0091486,0.0091486,0.0091486
45,2294.69,0.63984,1.0101,0.48337,1.03507,0.8848,0.89551,0.93723,0.75645,0.90186,0.91278,0.94484,0.73048,0.71616,1.07102,0.53896,1.14386,0.0091288,0.0091288,0.0091288
46,2344.92,0.62781,0.98359,0.48762,1.02996,0.88113,0.90901,0.92951,0.76371,0.90529,0.92142,0.94167,0.72665,0.69675,1.06245,0.52148,1.12722,0.009109,0.009109,0.009109
47,2395.42,0.62994,0.98133,0.48017,1.03431,0.88494,0.89659,0.93495,0.7578,0.91065,0.90649,0.94306,0.72712,0.71208,1.05591,0.54302,1.13353,0.0090892,0.0090892,0.0090892
48,2445.62,0.62628,1.0076,0.48057,1.03029,0.87142,0.89547,0.93299,0.75756,0.90405,0.91537,0.94549,0.73209,0.68801,1.06088,0.54234,1.12525,0.0090694,0.0090694,0.0090694
49,2495.88,0.61751,0.95962,0.47199,1.01913,0.89605,0.90155,0.93804,0.76749,0.92201,0.91876,0.95126,0.73876,0.69628,1.10747,0.50741,1.13845,0.0090496,0.0090496,0.0090496
50,2546.34,0.61335,0.97717,0.46876,1.02291,0.89906,0.88515,0.93911,0.76664,0.91976,0.90079,0.947,0.73157,0.68579,1.06417,0.5346,1.12186,0.0090298,0.0090298,0.0090298
51,2596.47,0.61444,0.96074,0.46572,1.01605,0.89672,0.89978,0.94023,0.76724,0.91555,0.91748,0.95006,0.74722,0.70367,1.03762,0.51678,1.1409,0.00901,0.00901,0.00901
52,2646.88,0.60487,0.94332,0.47488,1.01797,0.89605,0.89378,0.93894,0.77334,0.9149,0.90984,0.9503,0.74023,0.67979,1.02678,0.50872,1.11826,0.0089902,0.0089902,0.0089902
53,2696.86,0.6129,0.96927,0.46641,1.02469,0.89732,0.88946,0.93356,0.7738,0.91827,0.91198,0.94561,0.73797,0.68401,1.08756,0.50824,1.12628,0.0089704,0.0089704,0.0089704
